date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:39	792767/792767	---M--	200	added ('OK')	application/pdf	etag:%22c18bf-4faa1ef299100%22	http://www.model-based-enterprise.org/Docs/SOP-Arbortext-Publishing-public-DIST-A.pdf?ArticleID=2005	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/SOP-Arbortext-Publishing-public-DIST-A7958.pdf	(from http://www.model-based-enterprise.org/standard-operating-procedures.html)
17:01:42	16482/16482	---M--	200	added ('OK')	image/jpeg	etag:%224062-4f6c59adce280%22	http://www.model-based-enterprise.org/images/product-lifecycle-management.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/product-lifecycle-management.jpg	(from http://www.model-based-enterprise.org/product-lifecycle-management.html)
17:01:50	48705/48705	---M--	200	added ('OK')	image/jpeg	etag:%22be41-4f6c59d8b87c0%22	http://www.model-based-enterprise.org/images/weldment-large.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/weldment-large.jpg	(from http://www.model-based-enterprise.org/model-based-definition.html)
17:01:54	14674/14674	---M--	200	added ('OK')	image/jpeg	etag:%223952-4f6c59d1175c0%22	http://www.model-based-enterprise.org/images/Technical-Data-Package-S.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Technical-Data-Package-S.jpg	(from http://www.model-based-enterprise.org/model-based-definition.html)
17:04:23	935649/935649	---M--	200	added ('OK')	application/pdf	etag:%22e46e1-4f742ed4d2200%22	http://www.model-based-enterprise.org/Docs/2009-MBE-Assessment-Data.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/2009-MBE-Assessment-Data.pdf	(from http://www.model-based-enterprise.org/mbe-2009-supplier-assessment.html)
17:04:44	124760/124760	---M--	200	added ('OK')	application/pdf	etag:%221e758-4f742f7509c00%22	http://www.model-based-enterprise.org/Docs/Assessment-information.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/Assessment-information.pdf	(from http://www.model-based-enterprise.org/mbe-2009-supplier-assessment.html)
17:04:52	20104/20104	---M--	200	added ('OK')	image/jpeg	etag:%224e88-4f6c58fb77dc0%22	http://www.model-based-enterprise.org/images/2009-supplier-assessment-chart.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/2009-supplier-assessment-chart.jpg	(from http://www.model-based-enterprise.org/mbe-2009-supplier-assessment.html)
17:05:37	301424/301424	---M--	200	added ('OK')	application/pdf	etag:%2249970-4f742f6e5cc40%22	http://www.model-based-enterprise.org/Docs/ARDEC-3DTDP-assessment-findings.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/ARDEC-3DTDP-assessment-findings.pdf	(from http://www.model-based-enterprise.org/mbe-2012-supplier-assessment.html)
17:06:16	1086620/1086620	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%2210949c-4f74317529440%22	http://www.model-based-enterprise.org/Docs/MBE-website-social-medial.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-website-social-medial.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
17:06:24	5799235/5799235	---M--	200	added ('OK')	application/pdf	etag:%22587d43-4f74301635840%22	http://www.model-based-enterprise.org/Docs/CPDA_Presentation_r1.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/CPDA_Presentation_r1.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
